Country,LanguageHaveWorkedWith,LanguageWantToWorkWith,ConvertedCompYearly,WorkExp,RemoteWork,AISelect
Brazil,Bash/Shell (all shells);C;HTML/CSS;Lua;Python,Bash/Shell (all shells);C;HTML/CSS;Lua;Python,,40.0,"Your choice (very flexible, you can come in when you want or just as needed)","No, and I don't plan to"
Brazil,Assembly;Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,Assembly;Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;Rust;SQL;TypeScript,36407.0,15.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL;VBA,Bash/Shell (all shells);HTML/CSS;JavaScript;PowerShell;Python;SQL;VBA,91018.0,32.0,"Hybrid (some in-person, leans heavy to flexibility)","Yes, I use AI tools daily"
Brazil,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;TypeScript,41765.0,4.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);COBOL;Delphi;Java;Ruby;Rust;SQL,Rust;SQL,,25.0,Remote,"Yes, I use AI tools daily"
Brazil,,,60.0,32.0,,"Yes, I use AI tools daily"
Brazil,Java;SQL,,24211.0,13.0,Remote,"Yes, I use AI tools weekly"
Brazil,HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,HTML/CSS;Java;Kotlin;SQL;TypeScript,70994.0,16.0,"Your choice (very flexible, you can come in when you want or just as needed)","No, and I don't plan to"
Brazil,C++;Python,Python;Rust,17840.0,4.0,Remote,"Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python,Rust,14563.0,30.0,"Your choice (very flexible, you can come in when you want or just as needed)","No, and I don't plan to"
Brazil,C;C#;C++;Go;HTML/CSS;Java;JavaScript;Lua;PHP;Python;Rust;SQL;TypeScript;VBA;Visual Basic (.Net),Go;Rust;SQL;TypeScript,90000.0,14.0,Remote,
Brazil,HTML/CSS;JavaScript;Python;TypeScript,Go;TypeScript,2221.0,4.0,Remote,"Yes, I use AI tools weekly"
Brazil,HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,Go;HTML/CSS;JavaScript;Python;SQL;TypeScript,54611.0,20.0,Remote,"Yes, I use AI tools daily"
Brazil,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL,,12.0,Remote,"Yes, I use AI tools daily"
Brazil,C#;Delphi;HTML/CSS;JavaScript;SQL,,16383.0,11.0,"Hybrid (some remote, leans heavy to in-person)","Yes, I use AI tools daily"
Brazil,C#;Fortran;HTML/CSS;Java;JavaScript;PowerShell;Python;R;TypeScript;VBA;Visual Basic (.Net),,2731.0,35.0,,"No, and I don't plan to"
Brazil,HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Go;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,13107.0,11.0,Remote,"Yes, I use AI tools daily"
Brazil,C#;PHP,C;C#;Go;Swift;TypeScript;Zig,36407.0,41.0,,"Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;SQL;TypeScript,25485.0,22.0,,"Yes, I use AI tools daily"
Brazil,C;HTML/CSS;JavaScript;TypeScript,C++;Go;JavaScript;SQL;TypeScript,12743.0,6.0,In-person,"Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;SQL,50606.0,30.0,Remote,"Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);C#;Groovy;JavaScript;PowerShell;SQL,Bash/Shell (all shells);SQL,21844.0,9.0,"Hybrid (some remote, leans heavy to in-person)","Yes, I use AI tools daily"
Brazil,HTML/CSS;JavaScript;TypeScript,HTML/CSS;JavaScript;Python;TypeScript,125000.0,20.0,Remote,"Yes, I use AI tools weekly"
Brazil,Bash/Shell (all shells);Python;Rust,Rust,17476.0,7.0,"Hybrid (some in-person, leans heavy to flexibility)","No, and I don't plan to"
